     Inode Address Inode Number              Path
------------------ ------------------------- ----
0xffff88000d6902f8                         3 /dev
0xffff88000ec7fa98                     11411 /dev/log
0xffff8800091d0d78                     11235 /dev/dm-0
0xffff88000e00f2b8                      8561 /dev/dvd
0xffff88000f156ad8                      8558 /dev/cdrom
0xffff88000e3ad558                      8340 /dev/snd
0xffff88000cf9e838                      9562 /dev/snd/by-path
0xffff88000cf9ead8                      9563 /dev/snd/by-path/pci-0000:00:04.0
0xffff88000e3bc598                      9551 /dev/snd/controlC0
0xffff88000e3bc2f8                      9550 /dev/snd/hwC0D0
0xffff88000e3bc058                      9549 /dev/snd/pcmC0D0c
0xffff88000e0582f8                      9548 /dev/snd/pcmC0D0p
0xffff88000e3ada98                      8342 /dev/snd/seq
0xffff88000e3ad7f8                      8341 /dev/snd/timer
0xffff88000e3ad2b8                      8339 /dev/vhost-net
0xffff88000e3ad018                      8338 /dev/uhid
0xffff88000e3acd78                      8337 /dev/vhci
0xffff88000e3acad8                      8336 /dev/autofs
0xffff88000e3ac838                      8335 /dev/cuse
0xffff88000e355018                      8254 /dev/shm
0xffff88000e376058                      8224 /dev/.udev
0xffff88000e395558                      8225 /dev/.udev/rules.d
0xffff88000e3957f8                      8226 /dev/.udev/rules.d/root.rules
0xffff88000e354058                      7921 /dev/vcsa7
0xffff88000e377018                      7917 /dev/vcs7
0xffff88000e3772b8                      7904 /dev/vcsa6
0xffff88000e376838                      7900 /dev/vcs6
0xffff88000cc74838                      7893 /dev/vcsa5
0xffff88000e3cdd38                      7889 /dev/vcs5
0xffff88000e3cd2b8                      7882 /dev/vcsa4
0xffff88000e3cc838                      7878 /dev/vcs4
0xffff88000e3c7d38                      7871 /dev/vcsa3
0xffff88000e3c72b8                      7867 /dev/vcs3
0xffff88000e3c6838                      7860 /dev/vcsa2
0xffff88000e395d38                      7856 /dev/vcs2
0xffff88000f2cf7f8                      7455 /dev/fb0
0xffff88000f2cead8                      7437 /dev/dri
0xffff88000f2cf018                      7448 /dev/dri/card0
0xffff88000f2ced78                      7438 /dev/dri/controlD64
0xffff88000f1562f8                      7155 /dev/rtc
0xffff88000ee5ed78                      7061 /dev/char
0xffff8800091e77f8                      9629 /dev/char/13:66
0xffff8800091e6ad8                      9624 /dev/char/13:32
0xffff88000cf9e598                      9561 /dev/char/116:5
0xffff88000e3bd7f8                      9558 /dev/char/116:2
0xffff88000e3bd018                      9555 /dev/char/116:4
0xffff88000e3bc838                      9552 /dev/char/116:3
0xffff88000e3cd7f8                      9474 /dev/char/116:33
0xffff88000e3542f8                      7922 /dev/char/7:135
0xffff88000e376598                      7918 /dev/char/7:7
0xffff88000e377558                      7905 /dev/char/7:134
0xffff88000e376ad8                      7901 /dev/char/7:6
0xffff88000e0c77f8                      7894 /dev/char/7:133
0xffff88000e3c7a98                      7890 /dev/char/7:5
0xffff88000e3cd558                      7883 /dev/char/7:132
0xffff88000e3ccad8                      7879 /dev/char/7:4
0xffff88000e3cc058                      7872 /dev/char/7:131
0xffff88000e3c7558                      7868 /dev/char/7:3
0xffff88000e3c6ad8                      7861 /dev/char/7:130
0xffff88000e3c6058                      7857 /dev/char/7:2
0xffff88000e01f018                      7684 /dev/char/21:1
0xffff88000e01ead8                      7682 /dev/char/252:1
0xffff88000e01e598                      7680 /dev/char/252:0
0xffff88000e01e058                      7678 /dev/char/21:0
0xffff88000e393018                      7672 /dev/char/226:64
0xffff88000e392ad8                      7670 /dev/char/226:0
0xffff88000e392598                      7668 /dev/char/29:0
0xffff88000e062598                      7376 /dev/char/7:129
0xffff88000e062058                      7374 /dev/char/7:128
0xffff880000129a98                      7372 /dev/char/7:1
0xffff880000129558                      7370 /dev/char/7:0
0xffff880000129018                      7368 /dev/char/5:3
0xffff880000128ad8                      7366 /dev/char/4:9
0xffff880000128598                      7364 /dev/char/4:8
0xffff880000128058                      7362 /dev/char/4:7
0xffff88000e061a98                      7360 /dev/char/4:63
0xffff88000e061558                      7358 /dev/char/4:62
0xffff88000e061018                      7356 /dev/char/4:61
0xffff88000e060ad8                      7354 /dev/char/4:60
0xffff88000e060598                      7352 /dev/char/4:6
0xffff88000e060058                      7350 /dev/char/4:59
0xffff88000e05fd38                      7348 /dev/char/4:58
0xffff88000e05f7f8                      7346 /dev/char/4:57
0xffff88000e05f2b8                      7344 /dev/char/4:56
0xffff88000e05ed78                      7342 /dev/char/4:55
0xffff88000e05e838                      7340 /dev/char/4:54
0xffff88000e05e2f8                      7338 /dev/char/4:53
0xffff88000f165d38                      7336 /dev/char/4:52
0xffff88000f1657f8                      7334 /dev/char/4:51
0xffff88000e059018                      7316 /dev/char/4:5
0xffff88000e058ad8                      7314 /dev/char/4:50
0xffff88000e058598                      7312 /dev/char/4:49
0xffff88000e058058                      7310 /dev/char/4:47
0xffff88000e037a98                      7308 /dev/char/4:48
0xffff88000e037558                      7306 /dev/char/4:46
0xffff88000e037018                      7304 /dev/char/4:44
0xffff88000e036ad8                      7302 /dev/char/4:45
0xffff88000e036598                      7300 /dev/char/4:43
0xffff88000e036058                      7298 /dev/char/4:42
0xffff88000f185a98                      7296 /dev/char/4:40
0xffff88000f185558                      7294 /dev/char/4:41
0xffff88000f185018                      7292 /dev/char/4:39
0xffff88000f184ad8                      7290 /dev/char/4:4
0xffff88000f184598                      7288 /dev/char/4:38
0xffff88000f184058                      7286 /dev/char/4:36
0xffff88000e005a98                      7284 /dev/char/4:37
0xffff88000e005558                      7282 /dev/char/4:34
0xffff88000e005018                      7280 /dev/char/4:35
0xffff88000e004ad8                      7278 /dev/char/4:32
0xffff88000e004598                      7276 /dev/char/4:33
0xffff88000e004058                      7274 /dev/char/4:30
0xffff88000e001a98                      7272 /dev/char/4:31
