Pid    Uid    Gid    Arguments                                                       
1      0      0      /sbin/init                                                      
2      0      0      [kthreadd]                                                      
3      0      0      [ksoftirqd/0]                                                   
5      0      0      [kworker/0:0H]                                                  
7      0      0      [rcu_sched]                                                     
8      0      0      [rcuos/0]                                                       
9      0      0      [rcu_bh]                                                        
10     0      0      [rcuob/0]                                                       
11     0      0      [migration/0]                                                   
12     0      0      [watchdog/0]                                                    
13     0      0      [khelper]                                                       
14     0      0      [kdevtmpfs]                                                     
15     0      0      [netns]                                                         
16     0      0      [writeback]                                                     
17     0      0      [kintegrityd]                                                   
18     0      0      [bioset]                                                        
19     0      0      [kworker/u3:0]                                                  
20     0      0      [kblockd]                                                       
21     0      0      [ata_sff]                                                       
22     0      0      [khubd]                                                         
23     0      0      [md]                                                            
24     0      0      [devfreq_wq]                                                    
25     0      0      [kworker/0:1]                                                   
27     0      0      [khungtaskd]                                                    
28     0      0      [kswapd0]                                                       
29     0      0      [ksmd]                                                          
30     0      0      [fsnotify_mark]                                                 
31     0      0      [ecryptfs-kthrea]                                               
32     0      0      [crypto]                                                        
44     0      0      [kthrotld]                                                      
45     0      0      [kworker/u2:1]                                                  
46     0      0      [vballoon]                                                      
47     0      0      [scsi_eh_0]                                                     
48     0      0      [scsi_eh_1]                                                     
50     0      0      [kworker/u2:3]                                                  
70     0      0      [deferwq]                                                       
71     0      0      [charger_manager]                                               
267    0      0      [ttm_swap]                                                      
268    0      0      [qxl_gc]                                                        
297    0      0      [kworker/0:2]                                                   
312    0      0      [jbd2/sda1-8]                                                   
313    0      0      [ext4-rsv-conver]                                               
406    0      0      upstart-udev-bridge --daemon                                    
408    0      0      /sbin/udevd --daemon                                            
515    0      0      /sbin/udevd --daemon                                            
516    0      0      /sbin/udevd --daemon                                            
546    0      0      [kworker/u3:1]                                                  
618    0      0      [kpsmoused]                                                     
658    0      0      upstart-socket-bridge --daemon                                  
760    0      0      [hd-audio0]                                                     
803    0      0      dhclient3 -e IF_METRIC=100 -pf /var/run/dhclient.eth0.pid -lf /var/lib/dhcp/dhclient.eth0.leases -1 eth0
973    0      0      [kdmflush]                                                      
975    0      0      [bioset]                                                        
976    0      0      [kcryptd_io]                                                    
978    0      0      [kcryptd]                                                       
979    0      0      [bioset]                                                        
998    0      0      [jbd2/dm-0-8]                                                   
999    0      0      [ext4-rsv-conver]                                               
1032   102    105    dbus-daemon --system --fork --activation=upstart                
1042   101    103    rsyslogd -c5                                                    
1112   0      0      /sbin/getty -8 38400 tty4                                       
1119   0      0      /sbin/getty -8 38400 tty5                                       
1129   0      0      /sbin/getty -8 38400 tty2                                       
1131   0      0      /sbin/getty -8 38400 tty3                                       
1136   0      0      /sbin/getty -8 38400 tty6                                       
1147   0      0      acpid -c /etc/acpi/events -s /var/run/acpid.socket              
1148   0      0      atd                                                             
1149   0      0      cron                                                            
1195   103    106    whoopsie                                                        
1409   0      0      [kworker/0:0]                                                   
1636   0      0      [kworker/u2:0]                                                  
1646   0      0      [kworker/u3:2]                                                  
1648   0      0      /sbin/getty -8 38400 tty1                                       
